region,x10_2,x10_1
  北京,1104.05,871.73
  天津,1820,1816.5
  河北,45575.83,17360.83
  山西,29031.5,20235.33
  内蒙古,24225.63,10924.83
  辽宁,27279.74,11861.83
  吉林,4730.89,3197.5
  黑龙江,6312.55,4646.01
  上海,2198.81,2140.36
  江苏,10224.44,9341.57
  浙江,4461.42,4082.76
  安徽,12022.34,10265.97
  福建,7719.54,6887.4
  江西,11133.6,6071.25
  山东,18342.59,17072.86
  河南,15250.47,11597.47
  湖北,7610.94,5736.89
  湖南,8115.92,5188.28
  广东,5965.49,5198.3
  广西,7963.96,5369.24
  海南,385.72,238.15
  重庆,3114.89,2569.02
  四川,13187.3,6052.28
  贵州,7835.25,4838.75
  云南,16037.59,7938.01
  西藏,365.98,5.9
  陕西,7215.11,4421.94
  甘肃,6671.17,3593.44
  青海,12301.16,6831.06
  宁夏,2960.67,2043.78
  新疆,7879.72,4062.72
